,Name,Price,Address,Info
2180,2 bedroom flat / apartment for rent,"13,000,000","  Lekki Phase 1, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2181,2 bedroom flat / apartment for rent,"3,500,000","  Lekki Conservation, Lekki Phase 2, Lekki, Lagos",2 Bedrooms Save
2182,1 bedroom mini flat (room and parlour) for rent,"1,300,000","  Peaceland Estate, Ajah, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
2183,Self contain (single rooms) for rent,"400,000","  Near Martins Bus Stop, Alagbole, Ojodu, Lagos",1 Bathroom1 Toilet3 Parking Spaces Save
2184,1 bedroom flat / apartment for rent,"600,000","  Ikoyi, Lagos",1 Bedroom1 Bathroom Save
2185,2 bedroom flat / apartment for rent,"2,200,000","  GRA Phase 1, Magodo, Lagos",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
2186,3 bedroom flat / apartment for rent,"3,000,000","  Lbs, Ajah, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2187,3 bedroom flat / apartment for rent,"3,800,000","  Agungi, Lekki, Lagos",3 Bedrooms Save
2188,Self contain (single rooms) for rent,"1,700,000","  Orchid Road, Lekki Phase 2, Lekki, Lagos",  Save
2189,Self contain (single rooms) for rent,"750,000","  Hopevile, Sangotedo, Ajah, Lagos",  Save
2190,3 bedroom flat / apartment for rent,"18,000,000","  Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2191,3 bedroom flat / apartment for rent,"6,000,000","  Adelabu, Surulere, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2192,2 bedroom flat / apartment for rent,"4,000,000","  Ikate Elegushi, Lekki, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2193,2 bedroom flat / apartment for rent,"800,000","  Near Oremeji Bus Stop, Alagbole, Ojodu, Lagos",2 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save
2194,1 bedroom mini flat (room and parlour) for rent,"3,000,000","  Orchid Road, Lekki, Lagos",1 Bedroom2 Toilets Save
2195,3 bedroom flat / apartment for rent,"7,000,000","  Ikate Elegushi, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2196,2 bedroom flat / apartment for rent,"2,000,000","  Off Igbobi, Shomolu, Lagos",2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
2197,1 bedroom mini flat (room and parlour) for rent,"1,200,000","  Ori-oke, Ogudu, Lagos",1 Bedroom2 Toilets Save
2198,Self contain (single rooms) for rent,"500,000","  Off International Airport Road Ajao Estate, Isolo, Lagos",1 Bathroom1 Toilet Save
2199,Flat / apartment for rent,"2,300,000","  Dpkay District Estate Orchid Road Eleganza Bustop, Lekki Phase 2, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2200,1 bedroom mini flat (room and parlour) for rent,"500,000","  Ipaja, Ayobo, Lagos",1 Bedroom2 Bathrooms2 Toilets Save
2201,1 bedroom mini flat (room and parlour) for rent,"600,000","  Evergreen Estate Aboru, Iyana Ipaja, Ipaja, Lagos",1 Bedroom1 Bathroom2 Toilets Save
2202,3 bedroom flat / apartment for rent,"18,000,000","  Victoria Island (VI), Lagos",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
2203,2 bedroom flat / apartment for rent,"1,700,000","  Off College Road, Ogba, Ikeja, Lagos",2 Bedrooms Save
2204,2 bedroom flat / apartment for rent,"11,000,000","  Whitesands Street, Lekki Phase 1, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2205,2 bedroom flat / apartment for rent,"4,000,000","  Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
2206,2 bedroom flat / apartment for rent,"2,500,000","  Happy Land Estate, Lbs Area, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
2207,5 bedroom flat / apartment for rent,"8,000,000","  Lekki, Lagos",5 Bedrooms5 Bathrooms6 Toilets3 Parking Spaces Save
2208,2 bedroom flat / apartment for rent,"1,500,000","  Ogunfayo, Awoyaya, Ibeju Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2209,1 bedroom flat / apartment for rent,"1,300,000","  Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
2210,1 bedroom mini flat (room and parlour) for rent,"3,200,000","  Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
2211,2 bedroom flat / apartment for rent,"6,000,000","  Ikate Elegushi, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2212,1 bedroom flat / apartment for rent,"3,500,000","  Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
2213,1 bedroom mini flat (room and parlour) for rent,"1,700,000","  Off Mfm International Headquarters, Onike, Yaba, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
2214,3 bedroom flat / apartment for rent,"75,000","  Old Ikoyi, Ikoyi, Lagos",3 Bedrooms4 Bathrooms3 Toilets2 Parking Spaces Save
2215,1 bedroom mini flat (room and parlour) for rent,"1,700,000","  Off Queens College, Onike, Yaba, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
2216,Self contain (single rooms) for rent,"900,000","  Off Queens College, Onike, Yaba, Lagos",1 Bathroom1 Toilet Save
2217,2 bedroom flat / apartment for rent,"3,000,000","  Anthony, Maryland, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2218,2 bedroom flat / apartment for rent,"2,700,000","  Chevron, Igbo Efon, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
2219,2 bedroom flat / apartment for rent,"3,500,000","  Lekki Phase 1, Lekki, Lagos",2 Bedrooms1 Bathroom1 Toilet Save
2220,2 bedroom flat / apartment for rent,"1,500,000","  Olokonla Estate, Olokonla, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
2221,2 bedroom flat / apartment for rent,"1,600,000","  Catholic Church Mission Street, Ogombo, Ajah, Lagos",2 Bedrooms3 Bathrooms3 Toilets1 Parking Space Save
2222,3 bedroom flat / apartment for rent,"6,000,000","  Off Adelabu, Surulere, Lagos",3 Bedrooms Save
2223,2 bedroom flat / apartment for rent,"8,000,000","  Ikate, Lekki, Lagos",2 Bedrooms2 Bathrooms Save
2224,Self contain (single rooms) for rent,"900,000","  Off Our Lady Secondary School, Sabo, Yaba, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2225,2 bedroom flat / apartment for rent,"10,000,000","  Ikate Elegushi, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2226,1 bedroom flat / apartment for rent,"600,000","  Ikoyi, Lagos",1 Bedroom1 Bathroom Save
2227,2 bedroom flat / apartment for rent,"8,500,000","  Ikate Elegushi, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
2228,2 bedroom flat / apartment for rent,"2,000,000","  By Abtect After Skymall Ajah, Lekki Phase 2, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets25 Parking Spaces Save
2229,Self contain (single rooms) for rent,"1,200,000","  Orchid Road, Lekki, Lagos",1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save
2230,2 bedroom flat / apartment for rent,"1,200,000","  Catholic Church Mission Street, Ogombo, Ajah, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2231,3 bedroom flat / apartment for rent,"7,000,000","  Nike Art Gallery, Lekki Phase 1, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2232,2 bedroom flat / apartment for rent,"1,800,000","  By Sbi After Skymall Before Before Shoprite, Ajah, Lagos",2 Bedrooms3 Bathrooms3 Toilets950 Parking Spaces Save
2233,Self contain (single rooms) for rent,"2,000,000","  Adeola Odeku, Lsdp Estate, Victoria Island (VI), Lagos",1 Bathroom1 Toilet1 Parking Space Save
2234,3 bedroom flat / apartment for rent,"4,000,000","  Ologolo, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
2235,2 bedroom flat / apartment for rent,"2,500,000","  Ajah, Lagos",2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
2236,2 bedroom flat / apartment for rent,"13,000,000","  Ikate, Lekki, Lagos",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
2237,2 bedroom flat / apartment for rent,"1,500,000","  Peace Land Estate Ogombo Off Abraham Adesanya Estate, Ogombo, Ajah, Lagos",2 Bedrooms Save
2238,3 bedroom flat / apartment for rent,"2,500,000","  Thera Annex Estate, Sangotedo, Ajah, Lagos",3 Bedrooms3 Bathrooms3 Toilets Save
2239,2 bedroom flat / apartment for rent,"2,500,000","  Crest View Estate Opposite Lagos Business Schools, Ajah, Lagos",2 Bedrooms Save
2240,3 bedroom flat / apartment for rent,"2,500,000","  Lekki Scheme 2 Besides Abraham Adesanya Estate, Ajah, Lagos",3 Bedrooms Save
2241,1 bedroom mini flat (room and parlour) for rent,"8,000,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1 Bedroom2 Toilets Save
2242,2 bedroom flat / apartment for rent,"10,000,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2 Bedrooms3 Toilets Save
2243,Self contain (single rooms) for rent,"2,000,000","  Lekki Phase 1, Lekki, Lagos",1 Bathroom1 Toilet Save
2244,3 bedroom flat / apartment for rent,"9,000,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",3 Bedrooms4 Toilets Save
2245,3 bedroom flat / apartment for rent,"2,500,000","  Thera Annex Estate Besides Blenco, Lekki, Lagos",3 Bedrooms Save
2246,1 bedroom flat / apartment for rent,"1,600,000","  Thomas Estate, Ajah, Lagos",1 Bedroom Save
2247,1 bedroom flat / apartment for rent,"600,000","  Ikoyi, Lagos",1 Bedroom1 Bathroom Save
2248,3 bedroom flat / apartment for rent,"2,500,000","  Thera Annex Estate, Ajah, Lagos",3 Bedrooms Save
2249,2 bedroom flat / apartment for rent,"10,000,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2 Bedrooms3 Toilets Save
2250,Self contain (single rooms) for rent,"1,400,000","  Orchid, Lekki, Lagos",  Save
2251,2 bedroom flat / apartment for rent,"4,000,000","  Ologolo, Lekki, Lagos",2 Bedrooms Save
2252,3 bedroom flat / apartment for rent,"18,000,000","  Victoria Island (VI), Lagos",3 Bedrooms Save
2253,3 bedroom flat / apartment for rent,"20,000,000","  Off Adeola Odeku, Victoria Island (VI), Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2254,2 bedroom flat / apartment for rent,"1,500,000","  Iyana Ipaja, Ipaja, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
2255,1 bedroom mini flat (room and parlour) for rent,"400,000","  Ipaja, Ayobo, Lagos",1 Bedroom2 Bathrooms2 Toilets Save
2256,1 bedroom mini flat (room and parlour) for rent,"3,000,000","  Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
2257,Self contain (single rooms) for rent,"900,000","  Agungi, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2258,1 bedroom mini flat (room and parlour) for rent,"5,000,000","  Osapa, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet Save
2259,3 bedroom flat / apartment for rent,"20,000,000","  Old Ikoyi, Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2260,4 bedroom flat / apartment for rent,"25,000,000","  Old Ikoyi, Ikoyi, Lagos",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
2261,Self contain (single rooms) for rent,"1,300,000","  Chevy View Estate By Chevron, Lekki, Lagos",1 Bathroom1 Toilet Save
2262,3 bedroom flat / apartment for rent,"25,000,000","  Off Ahmadu Bello Way, Victoria Island (VI), Lagos",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
2263,4 bedroom flat / apartment for rent,"10,000,000","  Ikate, Lekki, Lagos",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
2264,Self contain (single rooms) for rent,"2,500,000","  Lekki Phase 1, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
2265,1 bedroom mini flat (room and parlour) for rent,"850,000","  Beside Golf Road, Lakowe, Ibeju Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
2266,2 bedroom flat / apartment for rent,"12,000,000","  Oniru, Victoria Island (VI), Lagos",2 Bedrooms Save
2267,2 bedroom flat / apartment for rent,"2,000,000","  Unilag Extension, GRA Phase 1, Magodo, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
2268,2 bedroom flat / apartment for rent,"4,000,000","  Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
2269,3 bedroom flat / apartment for rent,"16,999,999","  Old Ikoyi, Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
